image_id,class_id,class_name,x_center,y_center,width,height
googleimages_26,3,barricade,0.495974,0.5165,0.893619,0.7112
googleimages_27,3,barricade,0.355079,0.655934,0.443023,0.475237
googleimages_29,3,barricade,0.454556,0.57593,0.579453,0.674917
googleimages_160,3,barricade,0.237724,0.849167,0.249336,0.301667
googleimages_160,3,barricade,0.451694,0.830767,0.18206,0.330733
googleimages_160,3,barricade,0.611312,0.792667,0.138904,0.282267
googleimages_160,3,barricade,0.730399,0.762333,0.104385,0.232
googleimages_160,3,barricade,0.822708,0.7468,0.080233,0.2216
googleimages_160,3,barricade,0.898206,0.724267,0.072492,0.193867
googleimages_25,3,barricade,0.287607,0.656815,0.565215,0.617143
googleimages_25,3,barricade,0.795913,0.55945,0.408175,0.547845
googleimages_113,3,barricade,0.272119,0.674979,0.544239,0.645228
googleimages_159,3,barricade,0.215226,0.632949,0.06729,0.226282
googleimages_159,3,barricade,0.289,0.663814,0.085419,0.281218
googleimages_159,3,barricade,0.401597,0.687821,0.138032,0.336026
googleimages_159,3,barricade,0.571145,0.741827,0.204484,0.402885
googleimages_159,3,barricade,0.801081,0.767532,0.251968,0.444038
googleimages_173,3,barricade,0.502334,0.554468,0.745927,0.734306
googleimages_3,3,barricade,0.298523,0.61727,0.289908,0.493262
googleimages_3,3,barricade,0.566846,0.632163,0.239846,0.507163
googleimages_161,3,barricade,0.274763,0.352293,0.045661,0.21949
googleimages_161,3,barricade,0.32,0.37949,0.041288,0.260764
googleimages_161,3,barricade,0.377085,0.417452,0.069356,0.323439
googleimages_161,3,barricade,0.472373,0.483471,0.12122,0.458662
googleimages_161,3,barricade,0.68139,0.623726,0.291593,0.732675
googleimages_188,3,barricade,0.470387,0.498395,0.44586,0.48348
googleimages_188,3,barricade,0.816901,0.420828,0.237724,0.341588
googleimages_198,3,barricade,0.497375,0.615034,0.358068,0.519597
googleimages_198,3,barricade,0.839058,0.671678,0.320113,0.420738
googleimages_198,3,barricade,0.191095,0.639312,0.249372,0.453121
googleimages_162,3,barricade,0.508779,0.536331,0.926987,0.896048
googleimages_116,3,barricade,0.533219,0.611794,0.890541,0.776412
googleimages_124,3,barricade,0.503415,0.632043,0.757933,0.630366
googleimages_199,3,barricade,0.251837,0.703019,0.438527,0.524744
googleimages_199,3,barricade,0.763907,0.726927,0.452744,0.529704
googleimages_201,3,barricade,0.260993,0.62151,0.21053,0.40745
googleimages_201,3,barricade,0.545298,0.651242,0.344238,0.470403
googleimages_166,3,barricade,0.514055,0.523143,0.943876,0.712866
googleimages_126,3,barricade,0.399341,0.65845,0.273907,0.303639
googleimages_126,3,barricade,0.691135,0.640296,0.225876,0.27062
googleimages_152,3,barricade,0.487212,0.477766,0.595689,0.580845
googleimages_172,3,barricade,0.478872,0.505,0.817879,0.665035
googleimages_165,3,barricade,0.505561,0.528133,0.777596,0.881159
googleimages_187,3,barricade,0.490597,0.592392,0.934812,0.757428
googleimages_121,3,barricade,0.461246,0.54291,0.641014,0.795368
googleimages_101,3,barricade,0.242171,0.739199,0.247111,0.338287
googleimages_101,3,barricade,0.619983,0.771381,0.324718,0.402652
googleimages_34,3,barricade,0.50727,0.508205,0.819424,0.824808
googleimages_135,3,barricade,0.640466,0.669042,0.690288,0.599053
googleimages_147,3,barricade,0.469002,0.549442,0.827015,0.693077
googleimages_16,3,barricade,0.51595,0.481086,0.812469,0.755771
googleimages_114,3,barricade,0.486874,0.580457,0.799438,0.839085
googleimages_200,3,barricade,0.236242,0.484346,0.304865,0.315171
googleimages_200,3,barricade,0.53618,0.467835,0.310373,0.315171
googleimages_200,3,barricade,0.841843,0.465358,0.316315,0.31352
googleimages_181,3,barricade,0.511282,0.566818,0.971894,0.858081
googleimages_130,3,barricade,0.368202,0.518923,0.703462,0.749176
googleimages_197,3,barricade,0.737372,0.534707,0.525256,0.508244
googleimages_197,3,barricade,0.272142,0.500867,0.410017,0.5
googleimages_153,3,barricade,0.436183,0.583087,0.572042,0.795949
googleimages_137,3,barricade,0.498649,0.597414,0.92083,0.722797
googleimages_19,3,barricade,0.267475,0.622172,0.464077,0.632007
